id,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,ヒント
35,夏の夜は まだ宵ながら 明けぬるを,雲のいずこに 月宿るらむ,なつのよは まだよひながら あけぬるを,くものいづこに つきやどるらむ,混同候補:『なにはが』『なにし』『なげき』。判定:『なつ』の2音で確定。
36,白露に 風の吹きしく 秋の野は,つらぬきとめぬ 玉ぞ散りける,しらつゆに かぜのふきしく あきののは,つらぬきとめぬ たまぞちりける,混同候補:『しの』。判定:『しら』の2音で確定。
37,忘らるる 身をば思はず 誓ひてし,人の命の 惜しくもあるかな,わすらるる みをばおもはず ちかひてし,ひとのいのちの をしくもあるかな,混同候補:『わすれ』。判定:『わすら』までで確定（3音）。
38,浅茅生の 小野の篠原 忍ぶれど,あまりてなどか 人の恋しき,あさぢふの をののしのはら しのぶれど,あまりてなどか ひとのこひしき,混同候補:『あさぼらけ あ』『あさぼらけ う』。判定:『あさぢ』までで確定（3音）。
39,忍ぶれど 色に出でにけり わが恋は,ものや思ふと 人の問ふまで,しのぶれど いろにいでにけり わがこひは,ものやおもふと ひとのとふまで,混同候補:『しら』。判定:『しの』の2音で確定。
40,恋すてふ わが名はまだき 立ちにけり,人知れずこそ 思ひそめしか,こひすてふ わがなはまだき たちにけり,ひとしれずこそ おもひそめしか,混同候補:『これ』『この』『こころあ』。判定:『こひ』の2音で確定。
41,契りきな かたみに袖を しぼりつつ,末の松山 波越さじとは,ちぎりきな かたみにそでを しぼりつつ,すゑのまつやま なみこさじとは,混同候補:『ちぎりお』。判定:『ちぎりき』までで確定（4音）。
42,逢ひ見ての 後の心に くらぶれば,昔はものを 思はざりけり,あひみての のちのこころに くらぶれば,むかしはものを おもはざりけり,混同候補:『あきの』『あし』『あまの』。判定:『あひ』の2音で確定。
43,逢ふことの 絶えてしなくは なかなかに,人をも身をも 恨みざらまし,あふことの たえてしなくは なかなかに,ひとをもみをも うらみざらまし,混同候補:『あきの』『あし』『あまの』。判定:『あふ』の2音で確定。
44,あはれとも いふべき人は 思ほえで,身のいたずらに なりぬべきかな,あはれとも いふべきひとは おもほえで,みのいたづらに なりぬべきかな,混同候補:『あはぢ』。判定:『あはれ』までで確定（3音）。
45,由良の戸を 渡る舟人 かぢをたえ,ゆくへも知らぬ 恋の道かな,ゆらのとを わたるふなびと かぢをたえ,ゆくへもしらぬ こひのみちかな,混同候補:『ゆふ』。判定:『ゆら』の2音で確定。
46,八重むぐら 茂れる宿の さびしきに,人こそ見えね 秋は来にけり,やへむぐら しげれるやどの さびしきに,ひとこそみえね あきはきにけり,混同候補:『やまざ』『やまが』『やす』。判定:『やへ』の2音で確定。
47,風をいたみ 岩うつ波の おのれのみ,くだけてものを 思ふころかな,かぜをいた みいはうつなみの おのれのみ,くだけてものを おもふころかな,混同候補:『かぜそ』。判定:『かぜを』までで確定（3音）。
48,御垣守 衛士のたく火の 夜は燃え,昼は消えつつも のをこそ思へ,みかきもり ゑじのたくひの よるはもえ,ひるはきえつつ ものをこそおもへ,混同候補:『みかの』。判定:『みかき』までで確定（3音）。
49,君がため 惜しからざりし 命さへ,長くもがなと 思ひけるかな,きみがため をしからざりし いのちさへ,ながくもがなと おもひけるかな,混同候補:『きみがため は』。判定:『きみがため を』までで確定（6音）。
50,かくとだに えやはいぶきの さしも草,さしも知らじな 燃ゆる思ひを,かくとだに えやはいぶきの さしもぐさ,さしもしらじな もゆるおもひを,混同候補:『かさ』『かぜを』『かぜそ』。判定:『かく』の2音で確定。
51,明けぬれば 暮るるものとは 知りながら,なほ恨めしき 朝ぼらけかな,あけぬれば くるるものとは しりながら,なほうらめしき あさぼらけかな,混同候補:『あきの』『あし』『あまの』。判定:『あけ』の2音で確定。
52,嘆きつつ ひとり寝る夜の 明くる間は,いかに久しき ものとかは知る,なげきつつ ひとりぬるよの あくるまは,いかにひさしき ものとかはしる,混同候補:『なげけ』。判定:『なげき』までで確定（3音）。
53,忘れじの 行く末までは かたければ,今日をかぎりの 命ともがな,わすれじの ゆくすゑまでは かたければ,けふをかぎりの いのちともがな,混同候補:『わすら』。判定:『わすれ』までで確定（3音）。
54,滝の音は 絶えて久しく なりぬれど,名こそ流れて なほ聞こえけれ,たきのおとは たえてひさしく なりぬれど,なこそながれて なほきこえけれ,混同候補:『たご』『たち』『たれ』。判定:『たき』の2音で確定。
55,あらざらむ この世のほかの 思ひ出に,今ひとたびの 逢ふこともがな,あらざらむ このよのほかの おもひでに,いまひとたびの あふこともがな,混同候補:『あらし』。判定:『あらざ』までで確定（3音）。
56,めぐり逢ひて 見しやそれとも 分かぬ間に,雲隠れにし 夜半の月かな,めぐりあひて みしやそれとも わかぬまに,くもがくれにし よはのつきかな,混同少: 同頭ほぼなし。判定: 語頭『め』で即確定（1音）。
57,有馬山 猪名の笹原 風吹けば,いでそよ人を 忘れやはする,ありまやま ゐなのささはら かぜふけば,いでそよひとを わすれやはする,混同候補:『ありあ』。判定:『ありま』までで確定（3音）。
58,やすらはで 寝なましものを 小夜更けて,かたぶくまでの 月を見しかな,やすらはで ねなましものを さよふけて,かたぶくまでの つきをみしかな,混同候補:『やまざ』『やまが』『やへ』。判定:『やす』の2音で確定。
59,大江山 いく野の道の 遠ければ,まだふみも見ず 天の橋立,おほえやま いくののみちの とほければ,まだふみもみず あまのはしだて,混同候補:『おほけ』。判定:『おほえ』までで確定（3音）。
60,いにしへの 奈良の都の 八重桜,けふ九重に 匂ひぬるかな,いにしへの ならのみやこの やへざくら,けふここのへに にほひぬるかな,混同候補:『いまこ』『いまは』。判定:『いに』の2音で確定。
61,夜をこめて 鳥のそら音は はかるとも,よに逢坂の 関はゆるさじ,よをこめて とりのそらねは はかるとも,よにあふさかの せきはゆるさじ,混同候補:『よのなかよ』『よも』『よのなかは』。判定:『よを』の2音で確定。
62,今はただ 思ひ絶えなむ とばかりを,人づてならで いふよしもがな,いまはただ おもひたえなむ とばかりを,ひとづてならで いふよしもがな,混同候補:『いまこ』。判定:『いまは』までで確定（3音）。
63,朝ぼらけ 宇治の川霧 たえだえに,あらはれわたる 瀬々の網代木,あさぼらけ うぢのかはぎり たえだえに,あらはれわたる せぜのあじろぎ,混同候補:『あさぼらけ あ』。判定:『あさぼらけ う』までで確定（6音）。
64,恨みわび 干さぬ袖だに あるものを,恋に朽ちなむ 名こそ惜しけれ,うらみわび ほさぬそでだに あるものを,こひにくちなむ なこそをしけれ,混同候補:『うか』。判定:『うら』の2音で確定。
65,もろともに あはれと思え 山桜,花よりほかに 知る人もなし,もろともに あはれとおもへ やまざくら,はなよりほかに しるひともなし,混同候補:『もも』。判定:『もろ』の2音で確定。
66,春の夜の 夢ばかりなる 手枕に,かひなく立たむ 名こそ惜しけれ,はるのよの ゆめばかりなる たまくらに,かひなくたたむ なこそをしけれ,混同候補:『はるす』。判定:『はるの』までで確定（3音）。
67,心にも あらで憂き夜に ながらへば,恋しかるべき 夜半の月かな,こころにも あらでうきよに ながらへば,こひしかるべき よはのつきかな,混同候補:『こころあ』。判定:『こころに』までで確定（4音）。
68,嵐ふく 三室の山の もみぢ葉は,竜田の川の 錦なりけり,あらしふく みむろのやまの もみぢばは,たつたのかはの にしきなりけり,混同候補:『あらざ』。判定:『あらし』までで確定（3音）。
69,寂しさに 宿を立ち出でて ながむれば,いづこも同じ 秋の夕暮れ,さびしさに やどをたちいで てながむれば,いづこもおなじ あきのゆふぐれ,混同少: 同頭ほぼなし。判定: 語頭『さ』で即確定（1音）。
70,夕されば 門田の稲葉 おとづれて,葦のまろやに 秋風ぞ吹く,ゆふされば かどたのいなば おとづれて,あしのまろやに あきかぜぞふく,混同候補:『ゆら』。判定:『ゆふ』の2音で確定。
71,音に聞く 高師の浜の あだ波は,かけじや袖の ぬれもこそすれ,おとにきく たかしのはまの あだなみは,かけじやそでの ぬれもこそすれ,混同候補:『おく』『おほえ』『おも』。判定:『おと』の2音で確定。
72,高砂の 尾の上の桜 咲きにけり,外山の霞 立たずもあらなむ,たかさごの をのへのさくら さきにけり,とやまのかすみ たたずもあらなむ,混同候補:『たご』『たち』『たれ』。判定:『たか』の2音で確定。
73,憂かりける 人を初瀬の 山おろしよ,はげしかれとは 祈らぬものを,うかりける ひとをはつせの やまおろしよ,はげしかれとは いのらぬものを,混同候補:『うら』。判定:『うか』の2音で確定。
74,契りおきし させもが露を 命にて,あはれ今年の 秋もいぬめり,ちぎりおきし させもがつゆ をいのちにて,あはれことしの あきもいぬめり,混同候補:『ちぎりき』。判定:『ちぎりお』までで確定（4音）。
75,わたの原 漕ぎ出でて見れば ひさかたの,雲居にまがふ 沖つ白波,わたのはら こぎいでてみれ ばひさかたの,くもゐにまがふ おきつしらなみ,混同候補:『わたのはら や』。判定:『わたのはら こ』までで確定（6音）。
76,瀬をはやみ 岩にせかるる 滝川の,われても末に 逢はむとぞ思ふ,せをはやみ いはにせかるる たきがはの,われてもすゑに あはむとぞおもふ,混同少: 同頭ほぼなし。判定: 語頭『せ』で即確定（1音）。
77,淡路島 通ふ千鳥の 鳴く声に,いく夜寝覚めぬ 須磨の関守,あはぢしま かよふちどりの なくこゑに,いくよねざめぬ すまのせきもり,混同候補:『あはれ』。判定:『あはぢ』までで確定（3音）。
78,秋風に たなびく雲の たえ間より,もれ出づる月の 影のさやけさ,あきかぜに たなびくくもの たえまより,もれいづるつきの かげのさやけさ,混同候補:『あきの』。判定:『あきか』までで確定（3音）。
79,ながからむ 心も知らず 黒髪の,乱れてけさは ものをこそ思へ,ながからむ こころもしらず くろかみの,みだれてけさは ものをこそおもへ,混同候補:『ながら』。判定:『ながか』までで確定（3音）。
80,ほととぎす 鳴きつる方を ながむれば,ただ有明の 月ぞ残れる,ほととぎす なきつるかたを ながむれば,ただありあけの つきぞのこれる,混同少: 同頭ほぼなし。判定: 語頭『ほ』で即確定（1音）。
81,思ひわび さても命は あるものを,憂きに堪へぬは 涙なりけり,おもひわび さてもいのちは あるものを,うきにたへぬは なみだなりけり,混同候補:『おく』『おほえ』『おと』。判定:『おも』の2音で確定。
82,世の中よ 道こそなけれ 思ひ入る,山の奥にも 鹿ぞ鳴くなる,よのなかよ みちこそなけれ おもひいる,やまのおくにも しかぞなくなる,混同候補:『よのなかは』。判定:『よのなかよ』までで確定（5音）。
83,ながらへば またこのごろや しのばれむ,憂しと見し世ぞ 今は恋しき,ながらへば またこのごろや しのばれむ,うしとみしよぞ いまはこひしき,混同候補:『ながか』。判定:『ながら』までで確定（3音）。
84,夜もすがら もの思ふころは 明けやらで,ねやのひまさへ つれなかりけり,よもすがら ものおもふころ はあけやらで,ねやのひまさへ つれなかりけり,混同候補:『よを』『よのなかよ』『よのなかは』。判定:『よも』の2音で確定。
85,嘆けとて 月やはものを 思はする,かこち顔なる わが涙かな,なげけとて つきやはものを おもはする,かこちがほなる わがなみだかな,混同候補:『なげき』。判定:『なげけ』までで確定（3音）。
86,村雨の 露もまだ干ぬ まきの葉に,霧立ちのぼる 秋の夕暮,むらさめの つゆもまだひぬ まきのはに,きりたちのぼる あきのゆふぐれ,混同少: 同頭ほぼなし。判定: 語頭『む』で即確定（1音）。
87,難波江の 葦のかりねの ひとよゆゑ,身をつくしてや 恋ひわたるべき,なにはえの あしのかりねの ひとよゆゑ,みをつくしてや こひわたるべき,混同候補:『なにはが』。判定:『なにはえ』までで確定（4音）。
88,玉の緒よ 絶えなば絶えね ながらへば,忍ぶることの 弱りもぞする,たまのをよ たえなばたえね ながらへば,しのぶることの よわりもぞする,混同候補:『たご』『たち』『たれ』。判定:『たま』の2音で確定。
89,見せばやな 雄島の海人の 袖だにも,濡れにぞ濡れし 色は変はらず,みせばやな をじまのあまの そでだにも,ぬれにぞぬれし いろはかはらず,混同候補:『みち』『みかの』『みかき』。判定:『みせ』の2音で確定。
90,きりぎりす 鳴くや霜夜の さむしろに,衣かたしき ひとりかも寝む,きりぎりす なくやしもよの さむしろに,ころもかたしき ひとりかもねむ,混同候補:『きみがため は』『きみがため を』。判定:『きり』の2音で確定。
91,わが袖は 潮干に見えぬ 沖の石の,人こそ知らね かわく間もなし,わがそでは しほひにみえぬ おきのいしの,ひとこそしらね かわくまもなし,混同候補:『わがい』。判定:『わがそ』までで確定（3音）。
92,世の中は 常にもがもな 渚漕ぐ,海人の小舟の 綱手かなしも,よのなかは つねにもがもな なぎさこぐ,あまのをぶねの つなでかなしも,混同候補:『よのなかよ』。判定:『よのなかは』までで確定（5音）。
93,み吉野の 山の秋風 小夜更けて,ふるさと寒く 衣うつなり,みよしのの やまのあきかぜ さよふけて,ふるさとさむく ころもうつなり,混同候補:『みち』『みかの』『みかき』。判定:『みよ』の2音で確定。
94,おほけなく 憂き世の民に おほふかな,わが立つ杣に すみ染の袖,おほけなく うきよのたみに おほふかな,わがたつそまに すみぞめのそで,混同候補:『おほえ』。判定:『おほけ』までで確定（3音）。
95,花さそふ 嵐の庭の 雪ならで,ふりゆくものは わが身なりけり,はなさそふ あらしのにはの ゆきならで,ふりゆくものは わがみなりけり,混同候補:『はなの』。判定:『はなさ』までで確定（3音）。
96,来ぬ人を 松帆の浦の 夕なぎに,焼くや藻塩の 身もこがれつつ,こぬひとを まつほのうらの ゆふなぎに,やくやもしほの みもこがれつつ,混同候補:『これ』『この』『こころあ』。判定:『こぬ』の2音で確定。
97,風そよぐ 楢の小川の 夕暮は,みそぎぞ夏の しるしなりける,かぜそよぐ ならのをがはの ゆふぐれは,みそぎぞなつの しるしなりける,混同候補:『かぜを』。判定:『かぜそ』までで確定（3音）。
98,人もをし 人もうらめし あじきなく,世を思ふゆゑに もの思ふ身は,ひともをし ひともうらめし あぢきなく,よをおもふゆゑ にものおもふみは,混同候補:『ひとは』。判定:『ひとも』までで確定（3音）。
99,百敷や 古き軒端の しのぶにも,なほあまりある 昔なりけり,ももしきや ふるきのきばの しのぶにも,なほあまりある むかしなりけり,混同候補:『もろ』。判定:『もも』の2音で確定。
